dataset,model,fold,rmse,r2,fit_time_sec
Diabetes,Random Forest,9,58.985788764855656,0.39351123785245434,0.08141112327575684
Diabetes,Random Forest,10,63.24155361622831,0.3626773128249533,0.08203697204589844
Diabetes,Random Forest,11,50.72068223700783,0.4752615731239812,0.07857775688171387
Diabetes,Random Forest,12,59.6610354806052,0.43566958885229645,0.08488607406616211
Diabetes,Random Forest,13,56.12549695370212,0.44786858816407793,0.08112001419067383
Diabetes,Random Forest,14,56.76534953506388,0.48774755191206454,0.07824516296386719
Diabetes,Gradient Boosting,0,56.068627475575354,0.4340770109808383,0.04862499237060547
Diabetes,Gradient Boosting,1,54.57437367106871,0.4906372271867028,0.044380903244018555
Diabetes,Gradient Boosting,2,54.798558721376565,0.42049107657675244,0.04445910453796387
Diabetes,Gradient Boosting,3,58.94234307490358,0.4249543945377191,0.044583797454833984
Diabetes,Gradient Boosting,4,57.34855477936498,0.49128245891535083,0.04443097114562988
Diabetes,Gradient Boosting,5,52.085798857177984,0.4758956274164031,0.044576168060302734
Diabetes,Gradient Boosting,6,56.77438414368274,0.4598398307567627,0.044116973876953125
Diabetes,Gradient Boosting,7,63.50031587930502,0.3906442479925136,0.044439077377319336
Diabetes,Gradient Boosting,8,54.38318207890387,0.5112912500110645,0.04445195198059082
Diabetes,Gradient Boosting,9,57.875665324381,0.41612488099512046,0.04440927505493164
Diabetes,Gradient Boosting,10,58.56722117014619,0.45340764261746547,0.04446578025817871
Diabetes,Gradient Boosting,11,50.78616286936177,0.47390581913622043,0.04417109489440918
Diabetes,Gradient Boosting,12,59.93337392939817,0.4305057614356571,0.04418015480041504
Diabetes,Gradient Boosting,13,55.01305542078972,0.46953884144381064,0.044220924377441406
Diabetes,Gradient Boosting,14,57.34819968430454,0.4771742280457526,0.04418826103210449
Diabetes,MLP,0,51.03165778490333,0.5311900290852922,0.02507305145263672
Diabetes,MLP,1,50.45471876923461,0.5646352525403591,0.02666926383972168
Diabetes,MLP,2,55.97691617008043,0.395300243651178,0.017564058303833008
Diabetes,MLP,3,57.79233463533374,0.447174617538721,0.023398876190185547
Diabetes,MLP,4,62.99155313250226,0.3862430964445156,0.016620159149169922
